,Index,Time_since_1900,Time_Str
425,7800,1020960,2016-06-21-00h
426,7813,1020973,2016-06-21-13h
427,7814,1020974,2016-06-21-14h
428,7815,1020975,2016-06-21-15h
429,7816,1020976,2016-06-21-16h
430,7817,1020977,2016-06-21-17h
431,7818,1020978,2016-06-21-18h
432,7819,1020979,2016-06-21-19h
433,7820,1020980,2016-06-21-20h
434,7821,1020981,2016-06-21-21h
435,7822,1020982,2016-06-21-22h
436,7823,1020983,2016-06-21-23h
437,7824,1020984,2016-06-22-00h
438,7825,1020985,2016-06-22-01h
439,7843,1021003,2016-06-22-19h
440,7844,1021004,2016-06-22-20h
441,7845,1021005,2016-06-22-21h
442,7862,1021022,2016-06-23-14h
443,7863,1021023,2016-06-23-15h
444,7864,1021024,2016-06-23-16h
445,7865,1021025,2016-06-23-17h
446,7866,1021026,2016-06-23-18h
447,7867,1021027,2016-06-23-19h
448,7868,1021028,2016-06-23-20h
449,7869,1021029,2016-06-23-21h
450,7870,1021030,2016-06-23-22h
451,7871,1021031,2016-06-23-23h
452,7872,1021032,2016-06-24-00h
453,7873,1021033,2016-06-24-01h
454,7893,1021053,2016-06-24-21h
455,8263,1021423,2016-07-10-07h
456,8264,1021424,2016-07-10-08h
457,8265,1021425,2016-07-10-09h
458,8269,1021429,2016-07-10-13h
459,8270,1021430,2016-07-10-14h
460,8271,1021431,2016-07-10-15h
461,8272,1021432,2016-07-10-16h
462,8273,1021433,2016-07-10-17h
463,8274,1021434,2016-07-10-18h
464,8275,1021435,2016-07-10-19h
465,8276,1021436,2016-07-10-20h
466,8277,1021437,2016-07-10-21h
467,8278,1021438,2016-07-10-22h
468,8279,1021439,2016-07-10-23h
469,8280,1021440,2016-07-11-00h
470,8281,1021441,2016-07-11-01h
471,8284,1021444,2016-07-11-04h
472,8285,1021445,2016-07-11-05h
473,8286,1021446,2016-07-11-06h
474,8287,1021447,2016-07-11-07h
475,8288,1021448,2016-07-11-08h
476,8289,1021449,2016-07-11-09h
477,8291,1021451,2016-07-11-11h
478,8292,1021452,2016-07-11-12h
479,8293,1021453,2016-07-11-13h
480,8294,1021454,2016-07-11-14h
481,8295,1021455,2016-07-11-15h
482,8296,1021456,2016-07-11-16h
483,8297,1021457,2016-07-11-17h
484,8298,1021458,2016-07-11-18h
485,8299,1021459,2016-07-11-19h
486,8300,1021460,2016-07-11-20h
487,8307,1021467,2016-07-12-03h
488,8308,1021468,2016-07-12-04h
489,8309,1021469,2016-07-12-05h
490,8310,1021470,2016-07-12-06h
491,8311,1021471,2016-07-12-07h
492,8312,1021472,2016-07-12-08h
493,8313,1021473,2016-07-12-09h
